OpportunityID,MeetingDate,MeetingType,Duration,AttendeesCount,DecisionMakerPresent,TechnicalPersonPresent,ProcurementPresent,MeetingRating,FollowUpScheduled,ActionItemsAssigned
93,2025-02-28,Stakeholder Meeting,46,7,True,True,False,8,True,5
94,2025-04-07,Technical Deep Dive,45,6,False,True,True,6,False,0
94,2025-03-28,Product Demo,45,4,False,False,False,5,False,0
94,2024-12-21,Product Demo,105,5,True,False,False,4,True,5
95,2024-10-25,Discovery Call,100,4,True,True,False,8,False,4
95,2025-02-17,Technical Deep Dive,78,5,True,True,False,8,False,1
95,2025-04-29,Technical Deep Dive,41,8,False,False,True,7,False,4
95,2024-11-05,Final Approval,86,7,False,True,True,1,False,4
95,2025-04-08,Discovery Call,112,6,True,True,True,10,True,3
96,2025-02-04,Discovery Call,114,6,True,True,False,4,True,5
96,2025-06-28,Stakeholder Meeting,40,8,False,False,True,8,True,2
96,2025-05-22,Product Demo,83,2,False,False,False,2,True,0
96,2025-06-18,Product Demo,66,3,True,False,True,3,False,3
96,2025-07-23,Product Demo,37,6,False,True,True,1,False,3
96,2025-02-25,Technical Deep Dive,48,5,False,False,False,2,True,1
97,2025-06-06,Negotiation,105,3,False,False,True,5,True,2
97,2025-03-24,Negotiation,82,2,False,True,False,4,True,2
97,2025-04-16,Negotiation,116,2,True,True,False,10,False,3
98,2025-03-27,Negotiation,56,8,True,False,True,4,False,4
98,2025-02-08,Discovery Call,30,8,False,False,True,1,True,3
99,2025-05-02,Technical Deep Dive,117,5,False,True,False,1,True,5
99,2025-04-15,Negotiation,38,4,True,False,True,3,False,3
99,2025-01-22,Negotiation,94,8,False,False,False,8,False,1
99,2025-05-18,Technical Deep Dive,73,3,False,False,True,3,True,4
100,2025-01-11,Discovery Call,116,3,False,False,False,9,True,5
100,2025-06-25,Discovery Call,98,2,False,True,False,7,False,3
100,2025-02-24,Final Approval,31,2,False,False,True,8,True,1
100,2025-07-19,Discovery Call,65,7,False,True,True,10,False,5
100,2025-03-07,Product Demo,93,4,True,False,False,10,True,0
