OpportunityID,CallDate,CallDuration,CallType,Sentiment,Outcome,PainPointDiscussed,CompetitorMentioned,DecisionMakersPresent,TechnicalQuestions,PricingDiscussed,NextStepsAgreed,BudgetQualified,TimelineDiscussed,ChampionIdentified
82,2025-09-10,90,Demo,Neutral,Proposal Requested,Operational Efficiency,None,3,2,True,True,,False,True
82,2025-05-09,55,Demo,Negative,Follow-up Needed,Data Privacy Compliance,Varonis,2,5,True,True,False,False,True
83,2024-11-13,57,Follow-up,Positive,Proposal Requested,Data Discovery,Informatica,1,5,False,True,,True,True
84,2024-11-04,68,Demo,Neutral,Objection Handled,Security Audit,OneTrust,4,1,False,True,True,False,True
84,2024-07-23,52,Discovery,Neutral,Proposal Requested,Data Privacy Compliance,Collibra,3,2,False,True,,True,True
84,2024-10-09,76,Discovery,Neutral,Closed Won,Data Discovery,Microsoft Purview,4,2,True,True,False,True,True
84,2024-10-27,85,Negotiation,Negative,Proposal Requested,Risk Management,Informatica,1,0,False,False,True,True,False
85,2025-02-23,26,Negotiation,Negative,Closed Won,Cost Optimization,Varonis,2,1,True,True,True,False,True
86,2025-03-18,54,Follow-up,Neutral,Objection Handled,Operational Efficiency,OneTrust,1,10,False,True,False,False,False
86,2025-04-05,72,Discovery,Neutral,Objection Handled,Security Audit,OneTrust,2,4,True,True,,True,True
86,2025-08-07,59,Follow-up,Negative,Demo Scheduled,Cost Optimization,Collibra,4,8,False,False,,True,False
86,2025-05-04,25,Follow-up,Negative,Discovery,Cost Optimization,Microsoft Purview,2,1,False,True,True,True,True
87,2024-10-27,69,Discovery,Negative,Objection Handled,Data Discovery,None,2,9,False,False,,True,True
87,2025-01-24,86,Follow-up,Negative,Proposal Requested,Risk Management,Microsoft Purview,4,0,False,True,False,True,True
88,2025-08-14,89,Discovery,Positive,Follow-up Needed,Data Privacy Compliance,OneTrust,3,6,False,False,,False,False
88,2025-03-26,37,Negotiation,Neutral,Demo Scheduled,Cost Optimization,Microsoft Purview,4,0,False,False,,True,True
88,2025-07-16,49,Negotiation,Positive,Proposal Requested,Risk Management,OneTrust,3,7,True,True,True,False,False
88,2025-06-07,49,Follow-up,Negative,Closed Won,Data Privacy Compliance,Informatica,4,3,False,False,,False,True
88,2025-07-26,35,Discovery,Neutral,Closed Won,Cost Optimization,Varonis,2,8,True,True,True,True,True
89,2024-08-13,73,Discovery,Neutral,Closed Won,Data Discovery,OneTrust,3,7,False,True,,True,True
89,2024-11-08,77,Follow-up,Positive,Closed Lost,Security Audit,Microsoft Purview,3,5,True,False,,True,False
90,2025-03-25,21,Demo,Negative,Closed Lost,Data Discovery,Informatica,2,10,True,False,,False,True
91,2025-02-28,31,Demo,Negative,Closed Lost,Data Privacy Compliance,Informatica,3,9,False,False,False,False,False
92,2024-07-29,42,Follow-up,Neutral,Closed Won,Cost Optimization,Microsoft Purview,4,9,True,True,,False,False
92,2024-08-10,28,Follow-up,Positive,Proposal Requested,Risk Management,None,3,4,False,False,True,True,True
92,2024-06-09,66,Negotiation,Negative,Demo Scheduled,Operational Efficiency,Collibra,4,4,False,False,False,False,True
92,2024-10-22,88,Demo,Neutral,Closed Won,Operational Efficiency,Informatica,4,10,False,False,True,True,False
93,2024-12-28,31,Negotiation,Negative,Closed Lost,Cost Optimization,Informatica,3,10,True,True,False,True,False
94,2025-02-07,62,Negotiation,Negative,Proposal Requested,Security Audit,Collibra,4,0,True,False,True,True,False
94,2025-03-30,53,Follow-up,Positive,Closed Lost,Data Discovery,Informatica,2,5,False,False,True,False,True
94,2024-12-05,77,Negotiation,Negative,Demo Scheduled,Risk Management,None,1,0,False,False,True,True,True
94,2025-03-20,26,Demo,Negative,Objection Handled,Operational Efficiency,Varonis,4,6,False,False,True,True,True
95,2024-10-28,56,Demo,Positive,Closed Won,Data Privacy Compliance,None,2,3,False,False,True,True,False
95,2025-03-02,90,Negotiation,Positive,Discovery,Data Privacy Compliance,OneTrust,3,7,False,False,,True,False
95,2025-02-27,60,Demo,Positive,Closed Lost,Security Audit,Collibra,2,3,True,True,,True,True
96,2025-05-04,19,Follow-up,Negative,Proposal Requested,Cost Optimization,Microsoft Purview,1,9,True,True,,True,True
97,2025-03-12,71,Follow-up,Positive,Follow-up Needed,Risk Management,Varonis,2,3,True,False,False,True,False
98,2025-03-20,32,Follow-up,Positive,Follow-up Needed,Operational Efficiency,Microsoft Purview,1,4,True,True,False,True,True
98,2024-12-22,81,Demo,Neutral,Closed Won,Security Audit,OneTrust,2,0,False,True,,False,False
98,2024-12-15,15,Discovery,Negative,Discovery,Data Privacy Compliance,Microsoft Purview,4,2,True,True,,True,False
98,2025-03-29,44,Follow-up,Neutral,Proposal Requested,Security Audit,Collibra,1,2,True,False,False,False,False
98,2024-11-14,27,Discovery,Positive,Closed Lost,Data Discovery,None,2,5,False,False,,False,True
99,2025-02-25,38,Discovery,Neutral,Objection Handled,Security Audit,OneTrust,4,7,False,True,True,True,True
99,2025-01-09,28,Follow-up,Negative,Objection Handled,Cost Optimization,None,4,2,False,False,,True,True
99,2025-04-02,77,Discovery,Neutral,Objection Handled,Data Privacy Compliance,Collibra,3,10,False,True,,True,False
100,2025-05-23,27,Follow-up,Negative,Closed Won,Data Discovery,Varonis,3,10,False,True,,True,True
100,2025-06-23,35,Follow-up,Neutral,Closed Lost,Data Discovery,Collibra,4,5,True,False,False,True,True
100,2025-05-30,63,Follow-up,Positive,Discovery,Security Audit,Varonis,4,1,False,False,False,True,False
100,2025-06-26,17,Discovery,Neutral,Objection Handled,Data Privacy Compliance,Microsoft Purview,1,1,False,True,,False,False
100,2025-04-13,21,Demo,Neutral,Proposal Requested,Cost Optimization,Microsoft Purview,4,10,False,False,True,True,True
